created_at,field1,field2,field3
01-01-2023 03:17,58,56,35
01-01-2023 03:18,62,60,54
01-01-2023 03:19,27,24,79
01-01-2023 03:20,42,16,51
01-01-2023 03:21,38,52,36
01-01-2023 03:22,35,70,80
01-01-2023 03:23,56,66,71
01-01-2023 03:24,64,79,44
01-01-2023 03:25,22,34,67
01-01-2023 03:26,22,33,62
01-01-2023 03:27,57,43,54
01-01-2023 03:28,37,51,30
01-01-2023 03:29,47,61,26
01-01-2023 03:30,20,60,70
01-01-2023 03:31,47,38,77
01-01-2023 03:32,63,54,87
01-01-2023 03:33,22,38,21
01-01-2023 03:34,41,61,83
01-01-2023 03:35,41,17,47
01-01-2023 03:36,33,44,52
01-01-2023 03:37,66,69,66
01-01-2023 03:38,49,19,45
01-01-2023 03:39,64,30,64
01-01-2023 03:40,43,37,28
01-01-2023 03:41,34,18,26
01-01-2023 03:42,62,11,41
01-01-2023 03:43,47,47,52
01-01-2023 03:44,45,14,48
01-01-2023 03:45,65,40,31
01-01-2023 03:46,37,33,38
01-01-2023 03:47,68,20,48
01-01-2023 03:48,43,29,75
01-01-2023 03:49,30,52,36
01-01-2023 03:50,21,51,86
01-01-2023 03:51,23,58,88
01-01-2023 03:52,44,56,60
01-01-2023 03:53,45,12,23
01-01-2023 03:54,20,66,71
01-01-2023 03:55,31,51,82
01-01-2023 03:56,67,53,48
01-01-2023 03:57,32,59,53
01-01-2023 03:58,46,56,49
01-01-2023 03:59,31,34,26
01-01-2023 04:00,44,31,60
01-01-2023 04:01,35,31,52
01-01-2023 04:02,38,39,44
01-01-2023 04:03,38,52,86
01-01-2023 04:04,27,36,50
01-01-2023 04:05,62,51,16
01-01-2023 04:06,52,72,81
01-01-2023 04:07,59,31,69
01-01-2023 04:08,20,27,71
01-01-2023 04:09,68,74,30
01-01-2023 04:10,40,54,44
01-01-2023 04:11,69,36,57
01-01-2023 04:12,45,76,30
01-01-2023 04:13,38,79,58
01-01-2023 04:14,49,18,68
01-01-2023 04:15,57,38,67
01-01-2023 04:16,32,18,56
01-01-2023 04:17,57,46,36
01-01-2023 04:18,32,29,73
01-01-2023 04:19,23,53,76
01-01-2023 04:20,26,47,33
01-01-2023 04:21,55,69,58
01-01-2023 04:22,38,76,87
01-01-2023 04:23,36,35,41
01-01-2023 04:24,52,33,48
01-01-2023 04:25,51,53,72
01-01-2023 04:26,67,45,45
01-01-2023 04:27,22,12,81
01-01-2023 04:28,43,10,24
01-01-2023 04:29,38,32,18
01-01-2023 04:30,64,45,45
01-01-2023 04:31,55,60,32
01-01-2023 04:32,69,27,39
01-01-2023 04:33,66,25,79
01-01-2023 04:34,56,74,51
01-01-2023 04:35,61,31,81
01-01-2023 04:36,56,38,30
01-01-2023 04:37,66,10,26
01-01-2023 04:38,40,11,78
01-01-2023 04:39,29,62,42
01-01-2023 04:40,27,60,84
01-01-2023 04:41,39,71,30
01-01-2023 04:42,66,68,73
01-01-2023 04:43,37,36,26
01-01-2023 04:44,22,34,16
01-01-2023 04:45,24,40,49
01-01-2023 04:46,20,46,21
01-01-2023 04:47,64,73,43
01-01-2023 04:48,24,11,53
01-01-2023 04:49,34,57,77
01-01-2023 04:50,31,54,42
01-01-2023 04:51,57,31,63
01-01-2023 04:52,56,53,67
01-01-2023 04:53,56,53,52
01-01-2023 04:54,48,12,47
01-01-2023 04:55,62,27,80
01-01-2023 04:56,68,45,15
01-01-2023 04:57,62,64,67
01-01-2023 04:58,28,61,80
01-01-2023 04:59,66,31,36
01-01-2023 05:00,27,28,32
01-01-2023 05:01,30,20,73
01-01-2023 05:02,54,44,70
01-01-2023 05:03,34,61,72
01-01-2023 05:04,54,18,20
01-01-2023 05:05,22,45,43
01-01-2023 05:06,42,70,75
01-01-2023 05:07,48,67,70
01-01-2023 05:08,46,43,85
01-01-2023 05:09,28,63,87
01-01-2023 05:10,34,59,44
01-01-2023 05:11,57,43,22
01-01-2023 05:12,42,40,89
01-01-2023 05:13,21,10,53
01-01-2023 05:14,22,36,85
01-01-2023 05:15,56,15,73
01-01-2023 05:16,59,58,70
01-01-2023 05:17,52,53,35
01-01-2023 05:18,21,26,17
01-01-2023 05:19,36,67,39
01-01-2023 05:20,40,67,83
01-01-2023 05:21,47,32,78
01-01-2023 05:22,69,45,64
01-01-2023 05:23,38,77,67
01-01-2023 05:24,54,35,84
01-01-2023 05:25,47,44,32
01-01-2023 05:26,27,20,42
01-01-2023 05:27,56,22,45
01-01-2023 05:28,45,43,30
01-01-2023 05:29,48,72,67
01-01-2023 05:30,61,69,57
01-01-2023 05:31,47,27,51
01-01-2023 05:32,54,48,72
01-01-2023 05:33,53,52,31
01-01-2023 05:34,29,14,62
01-01-2023 05:35,45,11,83
01-01-2023 05:36,25,64,62
01-01-2023 05:37,43,75,20
01-01-2023 05:38,32,62,19
01-01-2023 05:39,32,68,74
01-01-2023 05:40,31,31,86
01-01-2023 05:41,68,54,63
01-01-2023 05:42,32,11,65
01-01-2023 05:43,40,14,39
01-01-2023 05:44,68,53,25
01-01-2023 05:45,47,48,40
01-01-2023 05:46,64,77,29
01-01-2023 05:47,30,55,22
01-01-2023 05:48,29,47,29
01-01-2023 05:49,65,34,26
01-01-2023 05:50,34,67,87
01-01-2023 05:51,47,41,45
01-01-2023 05:52,69,35,50
01-01-2023 05:53,25,18,80
01-01-2023 05:54,52,33,34
01-01-2023 05:55,53,11,27
01-01-2023 05:56,42,67,35
01-01-2023 05:57,26,50,52
01-01-2023 05:58,24,68,64
01-01-2023 05:59,67,41,58
01-01-2023 06:00,26,60,61
01-01-2023 06:01,36,11,67
01-01-2023 06:02,69,57,61
01-01-2023 06:03,58,76,77
01-01-2023 06:04,30,69,77
01-01-2023 06:05,30,40,78
01-01-2023 06:06,23,68,49
01-01-2023 06:07,44,61,28
01-01-2023 06:08,41,64,72
01-01-2023 06:09,48,62,86
01-01-2023 06:10,56,40,46
01-01-2023 06:11,65,10,67
01-01-2023 06:12,41,51,58
01-01-2023 06:13,46,18,24
01-01-2023 06:14,64,18,87
01-01-2023 06:15,51,11,29
01-01-2023 06:16,31,78,25
01-01-2023 06:17,54,20,47
01-01-2023 06:18,29,53,62
01-01-2023 06:19,57,42,80
01-01-2023 06:20,30,57,39
01-01-2023 06:21,21,78,66
01-01-2023 06:22,53,20,39
01-01-2023 06:23,34,25,48
01-01-2023 06:24,22,54,64
01-01-2023 06:25,46,22,52
01-01-2023 06:26,49,51,15
01-01-2023 06:27,54,65,21
01-01-2023 06:28,25,40,76
01-01-2023 06:29,35,66,51
01-01-2023 06:30,47,40,51
01-01-2023 06:31,67,36,87
01-01-2023 06:32,52,33,56
01-01-2023 06:33,51,54,25
01-01-2023 06:34,54,69,83
01-01-2023 06:35,30,41,49
01-01-2023 06:36,37,53,80
01-01-2023 06:37,55,14,75
01-01-2023 06:38,35,64,37
01-01-2023 06:39,66,59,19
01-01-2023 06:40,29,38,34
01-01-2023 06:41,22,18,64
01-01-2023 06:42,24,60,69
01-01-2023 06:43,65,37,79
01-01-2023 06:44,21,62,68
01-01-2023 06:45,50,17,74
01-01-2023 06:46,60,35,83
01-01-2023 06:47,32,26,86
01-01-2023 06:48,64,34,61
01-01-2023 06:49,33,17,64
01-01-2023 06:50,41,22,55
01-01-2023 06:51,60,71,21
01-01-2023 06:52,31,74,83
01-01-2023 06:53,27,50,73
01-01-2023 06:54,48,12,47
01-01-2023 06:55,53,74,89
01-01-2023 06:56,69,24,33
01-01-2023 06:57,66,24,17
01-01-2023 06:58,25,53,39
01-01-2023 06:59,33,46,70
01-01-2023 07:00,66,38,65
01-01-2023 07:01,28,55,68
01-01-2023 07:02,51,61,88
01-01-2023 07:03,61,31,16
01-01-2023 07:04,42,18,32
01-01-2023 07:05,69,12,28
01-01-2023 07:06,41,23,51
01-01-2023 07:07,59,46,28
01-01-2023 07:08,20,47,71
01-01-2023 07:09,49,57,30
01-01-2023 07:10,23,69,87
01-01-2023 07:11,40,65,87
01-01-2023 07:12,29,63,28
01-01-2023 07:13,45,50,66
01-01-2023 07:14,31,14,47
01-01-2023 07:15,27,29,21
01-01-2023 07:16,30,53,32
01-01-2023 07:17,62,39,53
01-01-2023 07:18,45,20,51
01-01-2023 07:19,52,47,57
01-01-2023 07:20,45,66,84
01-01-2023 07:21,58,13,44
01-01-2023 07:22,58,71,49
01-01-2023 07:23,51,38,49
01-01-2023 07:24,23,22,25
01-01-2023 07:25,21,57,36
01-01-2023 07:26,49,78,54
01-01-2023 07:27,59,19,19
01-01-2023 07:28,55,60,51
01-01-2023 07:29,65,52,60
01-01-2023 07:30,46,56,81
01-01-2023 07:31,57,71,51
01-01-2023 07:32,20,18,76
01-01-2023 07:33,42,26,53
01-01-2023 07:34,41,24,51
01-01-2023 07:35,32,71,30
01-01-2023 07:36,67,39,38
01-01-2023 07:37,53,52,66
01-01-2023 07:38,50,38,49
01-01-2023 07:39,33,15,76
01-01-2023 07:40,44,16,71
01-01-2023 07:41,31,32,80
01-01-2023 07:42,51,60,15
01-01-2023 07:43,69,47,58
01-01-2023 07:44,50,19,79
01-01-2023 07:45,24,36,53
01-01-2023 07:46,68,54,75
01-01-2023 07:47,61,64,27
01-01-2023 07:48,57,72,22
01-01-2023 07:49,29,54,71
01-01-2023 07:50,60,45,49
01-01-2023 07:51,23,63,17
01-01-2023 07:52,59,69,38
01-01-2023 07:53,50,73,80
01-01-2023 07:54,45,16,17
01-01-2023 07:55,32,55,45
01-01-2023 07:56,52,49,87
01-01-2023 07:57,31,33,53
01-01-2023 07:58,42,75,24
01-01-2023 07:59,47,22,17
01-01-2023 08:00,22,23,88
01-01-2023 08:01,69,19,34
01-01-2023 08:02,38,22,23
01-01-2023 08:03,63,22,45
01-01-2023 08:04,38,66,82
01-01-2023 08:05,38,14,55
01-01-2023 08:06,23,60,61
01-01-2023 08:07,54,39,22
01-01-2023 08:08,69,52,63
01-01-2023 08:09,46,70,70
01-01-2023 08:10,66,60,45
01-01-2023 08:11,50,69,87
01-01-2023 08:12,36,48,22
01-01-2023 08:13,47,33,50
01-01-2023 08:14,47,49,32
01-01-2023 08:15,31,65,47
01-01-2023 08:16,40,56,33
01-01-2023 08:17,63,75,21
01-01-2023 08:18,46,13,82
01-01-2023 08:19,27,38,57
01-01-2023 08:20,52,19,51
01-01-2023 08:21,55,71,26
01-01-2023 08:22,59,42,87
01-01-2023 08:23,20,59,30
01-01-2023 08:24,43,56,72
01-01-2023 08:25,60,13,39
01-01-2023 08:26,21,18,19
01-01-2023 08:27,52,56,84
01-01-2023 08:28,67,75,21
01-01-2023 08:29,46,71,59
01-01-2023 08:30,27,55,25
01-01-2023 08:31,29,22,46
01-01-2023 08:32,38,30,70
01-01-2023 08:33,47,13,60
01-01-2023 08:34,34,52,30
01-01-2023 08:35,56,36,53
01-01-2023 08:36,41,31,68
01-01-2023 08:37,49,66,80
01-01-2023 08:38,30,20,61
01-01-2023 08:39,28,29,78
01-01-2023 08:40,40,25,18
01-01-2023 08:41,55,53,47
01-01-2023 08:42,25,79,31
01-01-2023 08:43,23,16,44
01-01-2023 08:44,47,49,24
01-01-2023 08:45,46,28,49
01-01-2023 08:46,59,58,84
01-01-2023 08:47,34,38,78
01-01-2023 08:48,40,58,82
01-01-2023 08:49,37,72,55
01-01-2023 08:50,40,56,65
01-01-2023 08:51,27,20,45
01-01-2023 08:52,69,48,35
01-01-2023 08:53,34,43,57
01-01-2023 08:54,64,79,52
01-01-2023 08:55,28,49,86
01-01-2023 08:56,47,31,87
01-01-2023 08:57,21,11,37
01-01-2023 08:58,63,66,46
01-01-2023 08:59,47,27,40
01-01-2023 09:00,26,43,29
01-01-2023 09:01,41,75,37
01-01-2023 09:02,57,71,65
01-01-2023 09:03,65,19,43
01-01-2023 09:04,49,26,17
01-01-2023 09:05,43,20,22
01-01-2023 09:06,38,76,79
01-01-2023 09:07,37,71,79
01-01-2023 09:08,39,27,75
01-01-2023 09:09,43,66,50
01-01-2023 09:10,32,27,52
01-01-2023 09:11,62,35,74
01-01-2023 09:12,42,38,76
01-01-2023 09:13,22,55,76
01-01-2023 09:14,37,68,24
01-01-2023 09:15,47,19,48
01-01-2023 09:16,20,42,53
01-01-2023 09:17,27,49,80
01-01-2023 09:18,22,63,78
01-01-2023 09:19,60,77,54
01-01-2023 09:20,65,19,75
01-01-2023 09:21,24,18,89
01-01-2023 09:22,57,67,30
01-01-2023 09:23,39,30,45
01-01-2023 09:24,65,35,15
01-01-2023 09:25,27,46,59
01-01-2023 09:26,26,28,49
01-01-2023 09:27,69,54,63
01-01-2023 09:28,62,62,72
01-01-2023 09:29,31,76,26
01-01-2023 09:30,46,60,44
01-01-2023 09:31,53,67,58
01-01-2023 09:32,60,16,41
01-01-2023 09:33,47,20,68
01-01-2023 09:34,32,78,33
01-01-2023 09:35,29,17,53
01-01-2023 09:36,41,75,26
01-01-2023 09:37,31,36,36
01-01-2023 09:38,55,78,44
01-01-2023 09:39,62,27,36
01-01-2023 09:40,29,56,75
01-01-2023 09:41,35,13,62
01-01-2023 09:42,66,22,17
01-01-2023 09:43,33,42,16
01-01-2023 09:44,66,14,81
01-01-2023 09:45,54,50,41
01-01-2023 09:46,32,23,25
01-01-2023 09:47,41,71,84
01-01-2023 09:48,48,44,38
01-01-2023 09:49,51,76,88
01-01-2023 09:50,49,47,27
01-01-2023 09:51,25,68,54
01-01-2023 09:52,39,13,36
01-01-2023 09:53,55,12,65
01-01-2023 09:54,68,34,25
01-01-2023 09:55,43,59,88
01-01-2023 09:56,63,65,79
01-01-2023 09:57,33,63,41
01-01-2023 09:58,54,29,18
01-01-2023 09:59,54,79,64
01-01-2023 10:00,46,11,54
01-01-2023 10:01,34,25,89
01-01-2023 10:02,57,56,29
01-01-2023 10:03,20,52,64
01-01-2023 10:04,69,77,45
01-01-2023 10:05,34,63,36
01-01-2023 10:06,55,78,63
01-01-2023 10:07,56,39,81
01-01-2023 10:08,46,18,58
01-01-2023 10:09,53,17,70
01-01-2023 10:10,24,42,79
01-01-2023 10:11,20,35,46
01-01-2023 10:12,45,30,33
01-01-2023 10:13,54,26,68
01-01-2023 10:14,49,10,62
01-01-2023 10:15,33,26,59
01-01-2023 10:16,34,23,34
01-01-2023 10:17,57,49,72
01-01-2023 10:18,33,78,87
01-01-2023 10:19,35,67,22
01-01-2023 10:20,43,42,24
01-01-2023 10:21,21,14,87
01-01-2023 10:22,20,17,19
01-01-2023 10:23,21,63,25
01-01-2023 10:24,31,45,15
01-01-2023 10:25,28,48,79
01-01-2023 10:26,34,36,85
01-01-2023 10:27,44,15,88
01-01-2023 10:28,67,70,33
01-01-2023 10:29,50,37,59
01-01-2023 10:30,37,17,68
01-01-2023 10:31,49,78,17
01-01-2023 10:32,22,18,31
01-01-2023 10:33,69,60,17
01-01-2023 10:34,44,73,56
01-01-2023 10:35,26,15,81
01-01-2023 10:36,34,14,33
01-01-2023 10:37,38,12,80
01-01-2023 10:38,25,22,45
01-01-2023 10:39,66,28,65
01-01-2023 10:40,51,69,67
01-01-2023 10:41,39,47,87
01-01-2023 10:42,66,21,58
01-01-2023 10:43,55,56,21
01-01-2023 10:44,55,19,22
01-01-2023 10:45,57,51,51
01-01-2023 10:46,50,67,46
01-01-2023 10:47,63,76,75
01-01-2023 10:48,52,10,34
01-01-2023 10:49,67,61,20
01-01-2023 10:50,45,58,49
01-01-2023 10:51,47,77,63
01-01-2023 10:52,32,55,77
01-01-2023 10:53,51,67,62
01-01-2023 10:54,42,57,65
01-01-2023 10:55,55,10,57
01-01-2023 10:56,29,22,65
01-01-2023 10:57,51,13,54
01-01-2023 10:58,48,49,60
01-01-2023 10:59,51,69,51
01-01-2023 11:00,37,22,82
01-01-2023 11:01,22,77,21
01-01-2023 11:02,22,79,88
01-01-2023 11:03,60,11,80
01-01-2023 11:04,67,30,55
01-01-2023 11:05,48,31,21
01-01-2023 11:06,34,16,45
01-01-2023 11:07,67,23,30
01-01-2023 11:08,23,20,69
01-01-2023 11:09,33,67,25
01-01-2023 11:10,38,49,56
01-01-2023 11:11,20,59,63
01-01-2023 11:12,62,54,23
01-01-2023 11:13,52,78,75
01-01-2023 11:14,44,25,37
01-01-2023 11:15,63,40,80
01-01-2023 11:16,57,29,62
01-01-2023 11:17,40,57,29
01-01-2023 11:18,56,46,62
01-01-2023 11:19,46,34,65
01-01-2023 11:20,45,33,79
01-01-2023 11:21,56,66,20
01-01-2023 11:22,55,27,76
01-01-2023 11:23,48,18,63
01-01-2023 11:24,30,17,76
01-01-2023 11:25,68,41,44
01-01-2023 11:26,50,23,48
01-01-2023 11:27,36,69,40
01-01-2023 11:28,28,46,69
01-01-2023 11:29,39,46,35
01-01-2023 11:30,68,34,56
01-01-2023 11:31,33,10,20
01-01-2023 11:32,47,32,76
01-01-2023 11:33,23,63,68
01-01-2023 11:34,51,49,47
01-01-2023 11:35,36,24,38
01-01-2023 11:36,30,36,33
01-01-2023 11:37,45,52,61
01-01-2023 11:38,52,46,37
01-01-2023 11:39,23,51,56
01-01-2023 11:40,58,14,38
01-01-2023 11:41,48,53,23
01-01-2023 11:42,42,20,75
01-01-2023 11:43,46,59,89
01-01-2023 11:44,41,46,57
01-01-2023 11:45,40,71,63
01-01-2023 11:46,52,10,19
01-01-2023 11:47,60,18,76
01-01-2023 11:48,37,61,59
01-01-2023 11:49,59,17,22
01-01-2023 11:50,26,10,81
01-01-2023 11:51,50,15,68
01-01-2023 11:52,28,61,15
01-01-2023 11:53,24,60,52
01-01-2023 11:54,43,68,68
01-01-2023 11:55,22,75,61
01-01-2023 11:56,36,22,64
01-01-2023 11:57,40,69,73
01-01-2023 11:58,68,45,78
01-01-2023 11:59,34,34,48
01-01-2023 12:00,22,11,77
01-01-2023 12:01,28,76,37
01-01-2023 12:02,54,52,31
01-01-2023 12:03,40,78,55
01-01-2023 12:04,29,23,47
01-01-2023 12:05,53,70,77
01-01-2023 12:06,50,11,41
01-01-2023 12:07,47,73,49
01-01-2023 12:08,43,31,56
01-01-2023 12:09,20,46,86
01-01-2023 12:10,55,50,46
01-01-2023 12:11,68,56,18
01-01-2023 12:12,51,27,49
01-01-2023 12:13,39,71,23
01-01-2023 12:14,48,19,42
01-01-2023 12:15,50,41,54
01-01-2023 12:16,67,65,55
01-01-2023 12:17,41,75,53
01-01-2023 12:18,43,67,74
01-01-2023 12:19,50,13,70
01-01-2023 12:20,23,37,48
01-01-2023 12:21,28,45,56
01-01-2023 12:22,53,65,51
01-01-2023 12:23,49,16,21
01-01-2023 12:24,43,53,83
01-01-2023 12:25,39,69,21
01-01-2023 12:26,40,37,44
01-01-2023 12:27,40,58,70
01-01-2023 12:28,37,15,24
01-01-2023 12:29,36,27,36
01-01-2023 12:30,26,19,44
01-01-2023 12:31,69,36,32
01-01-2023 12:32,60,68,47
01-01-2023 12:33,43,34,77
01-01-2023 12:34,50,78,17
01-01-2023 12:35,38,12,24
01-01-2023 12:36,34,31,59
01-01-2023 12:37,35,74,50
01-01-2023 12:38,36,69,49
01-01-2023 12:39,45,48,20
01-01-2023 12:40,63,42,50
01-01-2023 12:41,52,44,17
01-01-2023 12:42,59,51,21
01-01-2023 12:43,41,61,55
01-01-2023 12:44,43,12,38
01-01-2023 12:45,42,46,44
01-01-2023 12:46,40,72,24
01-01-2023 12:47,21,36,22
01-01-2023 12:48,44,27,72
01-01-2023 12:49,35,73,27
01-01-2023 12:50,30,11,35
01-01-2023 12:51,39,75,81
01-01-2023 12:52,46,59,79
01-01-2023 12:53,36,38,87
01-01-2023 12:54,54,74,63
01-01-2023 12:55,65,71,31
01-01-2023 12:56,63,32,71
01-01-2023 12:57,26,34,47
01-01-2023 12:58,62,45,42
01-01-2023 12:59,55,59,78
01-01-2023 13:00,33,55,29
01-01-2023 13:01,21,42,42
01-01-2023 13:02,39,32,89
01-01-2023 13:03,56,58,26
01-01-2023 13:04,63,46,19
01-01-2023 13:05,33,55,81
01-01-2023 13:06,60,11,21
01-01-2023 13:07,32,72,86
01-01-2023 13:08,47,57,88
01-01-2023 13:09,66,73,65
01-01-2023 13:10,59,54,33
01-01-2023 13:11,46,19,17
01-01-2023 13:12,26,76,24
01-01-2023 13:13,51,18,55
01-01-2023 13:14,44,14,49
01-01-2023 13:15,56,74,39
01-01-2023 13:16,26,70,18
01-01-2023 13:17,26,61,32
01-01-2023 13:18,36,58,20
01-01-2023 13:19,66,29,34
01-01-2023 13:20,28,63,71
01-01-2023 13:21,56,36,71
01-01-2023 13:22,44,79,44
01-01-2023 13:23,22,36,77
01-01-2023 13:24,63,70,37
01-01-2023 13:25,58,30,19
01-01-2023 13:26,52,27,32
01-01-2023 13:27,24,38,23
01-01-2023 13:28,47,20,21
01-01-2023 13:29,32,14,35
01-01-2023 13:30,47,37,86
01-01-2023 13:31,21,17,79
01-01-2023 13:32,63,59,79
01-01-2023 13:33,22,75,43
01-01-2023 13:34,23,50,34
01-01-2023 13:35,26,38,49
01-01-2023 13:36,48,72,17
01-01-2023 13:37,48,77,70
01-01-2023 13:38,49,12,84
01-01-2023 13:39,45,10,42
01-01-2023 13:40,36,74,49
01-01-2023 13:41,64,77,15
